type,datasheets,image,corporatePartNumber,manufacturerPartNumber,manufacturer,description,unitPrice,packaging,series,resistance,tolerance,power,composition,features,temperatureCoefficient,operatingTemperature,sizeDimension
Resistor,http://www.ohmite.com/cat/res_ox_oy.pdf,http://media.digikey.com/photos/Ohmite%20Photos/OY105KE.jpg,OY105KE-ND,OY105KE,Ohmite,RES 1M OHM 2W 10% AXIAL,1.72,Bulk,OY,1M,±10%,2W,Ceramic,"Moisture Resistant, Pulse Withstanding",-1000/ -1600ppm/°C,-40°C ~ 220°C,"0.276"" Dia x 0.748"" L (7.00mm x 19.00mm)"
Resistor,http://www.ohmite.com/cat/res_minimox_200_300.pdf,http://media.digikey.com/photos/Ohmite%20Photos/MOX200001006JE.JPG,MOX200J-100ME-ND,MOX200001006JE,Ohmite,RES 100M OHM 1/4W 5% AXIAL,1.75,Bulk,Mini-Mox,100M,±5%,"0.25W, 1/4W",Thick Film,"High Voltage, Moisture Resistant",100ppm/°C,-55°C ~ 155°C,"0.087"" Dia x 0.256"" L (2.20mm x 6.50mm)"
Resistor,http://www.ohmite.com/cat/res_10.pdf,http://media.digikey.com/photos/Ohmite%20Photos/13FR%20SERIES%203W.jpg,13FR010E-ND,13FR010E,Ohmite,RES 0.01 OHM 3W 1% AXIAL,2.43,Bulk,10,0.01,±1%,3W,Metal Element,"Current Sense, Non-Inductive",±100ppm/°C,-55°C ~ 275°C,"0.205"" Dia x 0.571"" L (5.20mm x 14.50mm)"
Resistor,http://www.ohmite.com/cat/res_10.pdf,http://media.digikey.com/photos/Ohmite%20Photos/13FR%20SERIES%203W.jpg,13FR200E-ND,13FR200E,Ohmite,RES 0.2 OHM 3W 1% AXIAL,2.56,Bulk,10,0.2,±1%,3W,Metal Element,"Current Sense, Non-Inductive",±50ppm/°C,-55°C ~ 275°C,"0.205"" Dia x 0.571"" L (5.20mm x 14.50mm)"
Resistor,http://www.ohmite.com/cat/res_10.pdf,http://media.digikey.com/photos/Ohmite%20Photos/13FR%20SERIES%203W.jpg,13FR100E-ND,13FR100E,Ohmite,RES 0.1 OHM 3W 1% AXIAL,2.56,Bulk,10,0.1,±1%,3W,Metal Element,"Current Sense, Non-Inductive",±50ppm/°C,-55°C ~ 275°C,"0.205"" Dia x 0.571"" L (5.20mm x 14.50mm)"
Resistor,http://www.ohmite.com/cat/res_10.pdf,http://media.digikey.com/photos/Ohmite%20Photos/12FR%20SERIES%202W.jpg,12FR030E-ND,12FR030E,Ohmite,RES 0.03 OHM 2W 1% AXIAL,2.56,Bulk,10,0.03,±1%,2W,Metal Element,"Current Sense, Non-Inductive",±50ppm/°C,-55°C ~ 275°C,"0.094"" Dia x 0.417"" L (2.40mm x 10.60mm)"
Resistor,http://www.ohmite.com/cat/res_10.pdf,http://media.digikey.com/photos/Ohmite%20Photos/15FR%20SERIES%205W.jpg,15FR100E-ND,15FR100E,Ohmite,RES 0.1 OHM 5W 1% AXIAL,2.59,Bulk,10,0.1,±1%,5W,Metal Element,"Current Sense, Non-Inductive",±50ppm/°C,-55°C ~ 275°C,"0.331"" Dia x 0.937"" L (8.40mm x 23.80mm)"
Resistor,http://www.ohmite.com/cat/res_10.pdf,http://media.digikey.com/Photos/Ohmite%20Photos/12FR010E.JPG,12FR010E-ND,12FR010E,Ohmite,RES 0.01 OHM 2W 1% AXIAL,2.59,Bulk,10,0.01,±1%,2W,Metal Element,"Current Sense, Non-Inductive",±100ppm/°C,-55°C ~ 275°C,"0.094"" Dia x 0.417"" L (2.40mm x 10.60mm)"
Resistor,http://www.ohmite.com/cat/res_10.pdf,http://media.digikey.com/photos/Ohmite%20Photos/15FR%20SERIES%205W.jpg,15FR010E-ND,15FR010E,Ohmite,RES 0.01 OHM 5W 1% AXIAL,2.66,Bulk,10,0.01,±1%,5W,Metal Element,"Current Sense, Non-Inductive",±100ppm/°C,-55°C ~ 275°C,"0.331"" Dia x 0.937"" L (8.40mm x 23.80mm)"
Resistor,http://www.ohmite.com/cat/res_10.pdf,http://media.digikey.com/photos/Ohmite%20Photos/15FR%20SERIES%205W.jpg,15FR005E-ND,15FR005E,Ohmite,RES 0.005 OHM 5W 1% AXIAL,2.78,Bulk,10,0.005,±1%,5W,Metal Element,"Current Sense, Non-Inductive",±100ppm/°C,-55°C ~ 275°C,"0.331"" Dia x 0.937"" L (8.40mm x 23.80mm)"
